station_id,station_name,network,latitude,longitude,selected_for_project,bufr_code,canonical_variable,observation_count,unique_timestamp_count,first_time,last_time,median_interval_seconds
MH::dpcn-marche::2f72e5740cf0,Monte Prata,dpcn-marche,42.8736,13.205,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::2f72e5740cf0,Monte Prata,dpcn-marche,42.8736,13.205,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::2f72e5740cf0,Monte Prata,dpcn-marche,42.8736,13.205,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::2f72e5740cf0,Monte Prata,dpcn-marche,42.8736,13.205,False,B13013,unmapped_B13013,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3237c8badf80,Poggio San Vicino,dpcn-marche,43.36842,13.07953,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3237c8badf80,Poggio San Vicino,dpcn-marche,43.36842,13.07953,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3237c8badf80,Poggio San Vicino,dpcn-marche,43.36842,13.07953,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::3423b76ba798,Isola San Biagio,dpcn-marche,42.9181,13.2989,False,B10004,pressure,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3423b76ba798,Isola San Biagio,dpcn-marche,42.9181,13.2989,False,B11001,wind_direction,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3423b76ba798,Isola San Biagio,dpcn-marche,42.9181,13.2989,False,B11002,wind_speed,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3423b76ba798,Isola San Biagio,dpcn-marche,42.9181,13.2989,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3423b76ba798,Isola San Biagio,dpcn-marche,42.9181,13.2989,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3423b76ba798,Isola San Biagio,dpcn-marche,42.9181,13.2989,False,B13013,unmapped_B13013,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::365f51412777,Fabriano Centro,dpcn-marche,43.33027,12.90403,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::365f51412777,Fabriano Centro,dpcn-marche,43.33027,12.90403,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::365f51412777,Fabriano Centro,dpcn-marche,43.33027,12.90403,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::3839327543e4,Pontedazzo,dpcn-marche,43.48895,12.62047,False,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::389476991b8d,Moie,dpcn-marche,43.49617,13.12579,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::389476991b8d,Moie,dpcn-marche,43.49617,13.12579,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::389476991b8d,Moie,dpcn-marche,43.49617,13.12579,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::389476991b8d,Moie,dpcn-marche,43.49617,13.12579,False,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::39776a688b5d,Conca 1,dpcn-marche,43.8711,12.4956,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::39776a688b5d,Conca 1,dpcn-marche,43.8711,12.4956,False,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::398e07751e20,Foce Metauro,dpcn-marche,43.82704,13.05262,True,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::398e07751e20,Foce Metauro,dpcn-marche,43.82704,13.05262,True,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3ba615eb8796,Piscina Acquasanta Terme,dpcn-marche,42.76832,13.40897,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3ba615eb8796,Piscina Acquasanta Terme,dpcn-marche,42.76832,13.40897,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3ba615eb8796,Piscina Acquasanta Terme,dpcn-marche,42.76832,13.40897,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::3e9cfe68a550,Campodiegoli,dpcn-marche,43.3103,12.8242,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::3e9cfe68a550,Campodiegoli,dpcn-marche,43.3103,12.8242,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::3f97593006b9,Madonna dell'Uccelletto,dpcn-marche,42.93472,13.10763,False,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::40225d302b05,Serravalle di Chienti,dpcn-marche,43.03055,12.9175,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::40225d302b05,Serravalle di Chienti,dpcn-marche,43.03055,12.9175,False,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::40225d302b05,Serravalle di Chienti,dpcn-marche,43.03055,12.9175,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::4387fff0c9da,Chienti 2,dpcn-marche,43.2608,13.59,True,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::4387fff0c9da,Chienti 2,dpcn-marche,43.2608,13.59,True,B13003,relative_humidity,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::4387fff0c9da,Chienti 2,dpcn-marche,43.2608,13.59,True,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::4387fff0c9da,Chienti 2,dpcn-marche,43.2608,13.59,True,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::453a44434e87,Carassai,dpcn-marche,43.02597,13.64595,True,B12101,air_temperature,88,88,2026-06-18T11:30:00Z,2026-06-21T15:30:00Z,1800.0
MH::dpcn-marche::453a44434e87,Carassai,dpcn-marche,43.02597,13.64595,True,B13003,relative_humidity,88,88,2026-06-18T11:30:00Z,2026-06-21T15:30:00Z,1800.0
MH::dpcn-marche::453a44434e87,Carassai,dpcn-marche,43.02597,13.64595,True,B13011,precipitation_amount,175,175,2026-06-18T11:30:00Z,2026-06-21T15:45:00Z,900.0
MH::dpcn-marche::4706a73f6bb2,Sefro,dpcn-marche,43.15903,12.97075,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::4706a73f6bb2,Sefro,dpcn-marche,43.15903,12.97075,False,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::4706a73f6bb2,Sefro,dpcn-marche,43.15903,12.97075,False,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::47d9180dcdd8,Foglia 2,dpcn-marche,43.85179,12.7868,True,B13011,precipitation_amount,177,177,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,900.0
MH::dpcn-marche::47d9180dcdd8,Foglia 2,dpcn-marche,43.85179,12.7868,True,B13215,unmapped_B13215,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
MH::dpcn-marche::488c56dcac91,Camponocecchio,dpcn-marche,43.40635,12.98029,False,B12101,air_temperature,90,90,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z,1800.0
