station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::dpcn-puglia::863486f2d299,Castellana Grotte,dpcn-puglia,40.87583,17.208,310.0,True,1,B13011
MH::dpcn-puglia::a1c4d6edae1a,Turi,dpcn-puglia,40.90067,17.05267,221.0,True,1,B13011
MH::dpcn-puglia::b13bf8dbcab7,Bradano Serra Marina,dpcn-puglia,40.47528,16.755,28.0,False,1,B13215
MH::dpcn-puglia::c429e9e90bdc,Bitonto,dpcn-puglia,41.093,16.705,108.0,True,1,B13011
MH::dpcn-puglia::d0a79677adb2,Grumo Appula,dpcn-puglia,40.998,16.73117,180.0,True,1,B13011
MH::dpcn-puglia::d8aefd1b0f2e,Serracapriola,dpcn-puglia,41.80222,15.15694,200.0,False,2,B12101|B13011
MH::dpcn-puglia::db847bf3e5e7,Torrente Carapelle a Ponte Ordon,dpcn-puglia,41.2915,15.6425,138.0,False,1,B13215
MH::dpcn-puglia::e28ff345fcd2,Bari Osservatorio,dpcn-puglia,41.11517,16.87733,7.0,True,1,B13011
MH::dpcn-puglia::ec36a7a4aa8e,Bari Campus,dpcn-puglia,41.09533,16.8715,14.0,True,1,B13011
MH::dpcn-puglia::f96d05f1fdc9,Quasano,dpcn-puglia,40.959,16.57217,374.0,False,1,B13011
MH::dpcn-veneto::00b99c825d9a,Falcade CMT,dpcn-veneto,46.35545,11.86946,1142.0,False,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::026e5db92203,Valle di Cadore CMT,dpcn-veneto,46.41544,12.33234,793.0,False,4,B11001|B11002|B12101|B13011
MH::dpcn-veneto::04976b26b99b,Malga Ciapela CMT,dpcn-veneto,46.42867,11.90479,1471.0,False,2,B12101|B13011
MH::dpcn-veneto::06cbb31a77f2,Cancia Stazione 1,dpcn-veneto,46.44743,12.25042,2140.0,False,3,B11002|B12101|B13011
MH::dpcn-veneto::06fbb8a14b57,Busche,dpcn-veneto,46.03845,11.98587,242.0,False,1,B13215
MH::dpcn-veneto::07653c27160c,Cordignano,dpcn-veneto,45.94836,12.4152,47.0,False,1,B13215
