baseline,scope,lead_hour,region,variable,v9_2_rmse,baseline_rmse,rmse_skill,rmse_skill_percent
dense_era5t_persistence,per_lead,5,land,tp,0.16020650376700524,0.21023189283415758,0.23795337801869632,23.795337801869632
dense_era5t_persistence,per_lead,5,sea,msl,0.8670539620998337,0.9183759217305845,0.05588338981496799,5.588338981496799
dense_era5t_persistence,per_lead,5,sea,u10,1.6010328335917832,2.1807740865948295,0.26584195793901955,26.584195793901955
dense_era5t_persistence,per_lead,5,sea,v10,1.6669412189300181,1.9455073181023879,0.14318429778207054,14.318429778207054
dense_era5t_persistence,per_lead,5,sea,t2m,1.0346826711034558,1.1318741770464604,0.08586776508729832,8.586776508729832
dense_era5t_persistence,per_lead,5,sea,tp,0.027421319839857815,0.0300966797690479,0.08889219507666368,8.889219507666368
dense_era5t_persistence,per_lead,6,full,msl,1.1313365530545667,1.1465280551762216,0.013250004701646834,1.3250004701646834
dense_era5t_persistence,per_lead,6,full,u10,1.4179398431446473,1.9012808097297205,0.25421861100769394,25.421861100769394
dense_era5t_persistence,per_lead,6,full,v10,1.4406119113968614,1.7041255611812152,0.1546327663800191,15.463276638001911
dense_era5t_persistence,per_lead,6,full,t2m,2.276211263565787,5.700195310349618,0.6006783733474955,60.067837334749555
dense_era5t_persistence,per_lead,6,full,tp,0.12326932999758515,0.15928584767456605,0.22611247767953357,22.61124776795336
dense_era5t_persistence,per_lead,6,land,msl,1.285171436129464,1.2576346105592033,-0.021895728170216566,-2.1895728170216566
dense_era5t_persistence,per_lead,6,land,u10,1.2216454252751157,1.5334265285070872,0.20332314423666276,20.332314423666276
dense_era5t_persistence,per_lead,6,land,v10,1.1906621629838938,1.3896734211385744,0.14320721338372333,14.320721338372334
dense_era5t_persistence,per_lead,6,land,t2m,2.875302102763685,7.468236932827333,0.6149958646698759,61.49958646698759
dense_era5t_persistence,per_lead,6,land,tp,0.16161723990735768,0.20937112860663462,0.22808249168392603,22.808249168392603
dense_era5t_persistence,per_lead,6,sea,msl,0.8873345617763698,0.9800994456766178,0.09464844032863129,9.464844032863128
dense_era5t_persistence,per_lead,6,sea,u10,1.6422799410895172,2.2997758263093377,0.2858956415221412,28.58956415221412
dense_era5t_persistence,per_lead,6,sea,v10,1.7166237261983441,2.047699305354758,0.1616817363226365,16.16817363226365
dense_era5t_persistence,per_lead,6,sea,t2m,1.04493554788506,1.2818467018661617,0.18482019233360536,18.482019233360536
dense_era5t_persistence,per_lead,6,sea,tp,0.02683210265220665,0.030113109633441108,0.10895609989048904,10.895609989048904
