method,lead_hour,region,variable,mae,rmse,sample_windows
input_compatible_reconstruction_persistence,4,land,tp,0.15112503202084895,0.21189908949200692,152
input_compatible_reconstruction_persistence,4,sea,msl,2.4779285047613264,2.930890604808518,152
input_compatible_reconstruction_persistence,4,sea,u10,1.9084220284568791,2.3794856978462597,152
input_compatible_reconstruction_persistence,4,sea,v10,1.7144249970561258,2.1442918910126636,152
input_compatible_reconstruction_persistence,4,sea,t2m,12.633501974332846,12.790264208994623,152
input_compatible_reconstruction_persistence,4,sea,tp,0.20903555202302324,0.23288929780782816,152
input_compatible_reconstruction_persistence,5,full,msl,2.4775049302131116,2.9217745722977706,152
input_compatible_reconstruction_persistence,5,full,u10,1.7120372563692632,2.149887499656466,152
input_compatible_reconstruction_persistence,5,full,v10,1.3559896082894243,1.7628197110751764,152
input_compatible_reconstruction_persistence,5,full,t2m,15.657400954010102,16.522681441972352,152
input_compatible_reconstruction_persistence,5,full,tp,0.17601194252354566,0.220964814585998,152
input_compatible_reconstruction_persistence,5,land,msl,2.4865237948286887,2.925991416731377,152
input_compatible_reconstruction_persistence,5,land,u10,1.5589859245502304,1.9537848427736895,152
input_compatible_reconstruction_persistence,5,land,v10,1.082273833011073,1.4009560347344967,152
input_compatible_reconstruction_persistence,5,land,t2m,17.941395750677067,18.857043566955664,152
input_compatible_reconstruction_persistence,5,land,tp,0.15109369867208292,0.21152650181260338,152
input_compatible_reconstruction_persistence,5,sea,msl,2.465554934597472,2.91617786118088,152
input_compatible_reconstruction_persistence,5,sea,u10,1.9148302710294818,2.3850153357027506,152
input_compatible_reconstruction_persistence,5,sea,v10,1.7186630105332397,2.1504573702035072,152
input_compatible_reconstruction_persistence,5,sea,t2m,12.631107848426371,12.78938848078563,152
input_compatible_reconstruction_persistence,5,sea,tp,0.20902861562673378,0.2328821242681681,152
input_compatible_reconstruction_persistence,6,full,msl,2.462193840722792,2.906439897900264,152
input_compatible_reconstruction_persistence,6,full,u10,1.7103944115033862,2.1470369228349337,152
input_compatible_reconstruction_persistence,6,full,v10,1.3602771518559649,1.7690328416696302,152
input_compatible_reconstruction_persistence,6,full,t2m,15.615841975644237,16.48792806125368,152
input_compatible_reconstruction_persistence,6,full,tp,0.17603813101348598,0.22102079075496403,152
input_compatible_reconstruction_persistence,6,land,msl,2.470863173538956,2.912090553741833,152
input_compatible_reconstruction_persistence,6,land,u10,1.550059890146398,1.940591801268419,152
input_compatible_reconstruction_persistence,6,land,v10,1.0854090830504388,1.4062763180943625,152
input_compatible_reconstruction_persistence,6,land,t2m,17.870385134366483,18.803920676797116,152
input_compatible_reconstruction_persistence,6,land,tp,0.1511465802522126,0.2116357960155561,152
input_compatible_reconstruction_persistence,6,sea,msl,2.4507069747413746,2.8989358134094063,152
input_compatible_reconstruction_persistence,6,sea,u10,1.9228376523013957,2.3933024536744907,152
input_compatible_reconstruction_persistence,6,sea,v10,1.7244773430232867,2.157706454409877,152
input_compatible_reconstruction_persistence,6,sea,t2m,12.628572290337257,12.788745866595345,152
input_compatible_reconstruction_persistence,6,sea,tp,0.20901943577217322,0.23287405537924327,152
dense_era5t_persistence,1,full,msl,0.2635022714046402,0.3334832379273913,152
dense_era5t_persistence,1,full,u10,0.45607916911504404,0.634681696056641,152
dense_era5t_persistence,1,full,v10,0.41280762455115905,0.5898248054775458,152
dense_era5t_persistence,1,full,t2m,0.7559037956060767,1.1852657421552628,152
dense_era5t_persistence,1,full,tp,0.01441924888582186,0.13468963393903136,152
dense_era5t_persistence,1,land,msl,0.278552240032662,0.35651770056859466,152
dense_era5t_persistence,1,land,u10,0.3701671573824537,0.5171011947711022,152
dense_era5t_persistence,1,land,v10,0.33508151251453777,0.4836212307012567,152
dense_era5t_persistence,1,land,t2m,1.1865619805096568,1.5483246405622586,152
dense_era5t_persistence,1,land,tp,0.024520706224282252,0.17648730754225958,152
dense_era5t_persistence,1,sea,msl,0.2435610629725114,0.30025286653968386,152
dense_era5t_persistence,1,sea,u10,0.5699125846607263,0.7630608810111735,152
dense_era5t_persistence,1,sea,v10,0.5157947229996823,0.7063627570866332,152
dense_era5t_persistence,1,sea,t2m,0.18528170060883298,0.29975475766321896,152
dense_era5t_persistence,1,sea,tp,0.0010348179123618386,0.03012842149958279,152
dense_era5t_persistence,2,full,msl,0.4542463718388204,0.5585043347293073,152
dense_era5t_persistence,2,full,u10,0.7909680506007603,1.0763118948491255,152
dense_era5t_persistence,2,full,v10,0.7108916250123785,0.9854409370375543,152
dense_era5t_persistence,2,full,t2m,1.4613309690366834,2.2563259294351954,152
dense_era5t_persistence,2,full,tp,0.017425197261396783,0.15509446154294473,152
dense_era5t_persistence,2,land,msl,0.4842184296990491,0.5990902279825596,152
dense_era5t_persistence,2,land,u10,0.6227070585510689,0.841849294942717,152
dense_era5t_persistence,2,land,v10,0.5608996583890902,0.7789667325109496,152
dense_era5t_persistence,2,land,t2m,2.304174844911084,2.950983338065315,152
dense_era5t_persistence,2,land,tp,0.029743508740733587,0.20367297216425934,152
dense_era5t_persistence,2,sea,msl,0.4145333951740174,0.4996758244292063,152
dense_era5t_persistence,2,sea,u10,1.0139138650666013,1.3245183649014776,152
dense_era5t_persistence,2,sea,v10,0.9096309807882355,1.2057352645502608,152
dense_era5t_persistence,2,sea,t2m,0.3445628335031026,0.5459757783935084,152
dense_era5t_persistence,2,sea,tp,0.001103434551275518,0.031010940746249792,152
dense_era5t_persistence,3,full,msl,0.619959834427011,0.7582634988578318,152
dense_era5t_persistence,3,full,u10,1.0315597586384733,1.3879493617846548,152
dense_era5t_persistence,3,full,v10,0.9252464404142694,1.2573409577797103,152
dense_era5t_persistence,3,full,t2m,2.138626900156897,3.2467382089476393,152
dense_era5t_persistence,3,full,tp,0.01785571102792542,0.1562284805974947,152
dense_era5t_persistence,3,land,msl,0.6609660953867141,0.8143314522192121,152
dense_era5t_persistence,3,land,u10,0.8041207583101043,1.0662511946567226,152
dense_era5t_persistence,3,land,v10,0.7262347516594267,0.9797189714107285,152
dense_era5t_persistence,3,land,t2m,3.3849002279894784,4.249057539248561,152
dense_era5t_persistence,3,land,tp,0.030528060191265458,0.20534186974413174,152
dense_era5t_persistence,3,sea,msl,0.5656265386554042,0.6768569972346149,152
