station_id,station_name,latitude,longitude,station_type,network,coordinate_source,pretraining_value_source,operational_value_source,enabled,profile_land_only,profile_sea_only,profile_dpc_plus_sea,dist_to_coast_km,notes
LAND::METEOHUB::54,Gualdo,42.88622,13.16578,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,61.088357556117195,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::109,Sibilla,42.895,13.27,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,52.5894089945844,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::74,Montemonaco,42.8997,13.3253,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,48.08550481690282,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::55,Illice,42.90522,13.40683,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,41.49742309978637,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::65,Monte Bove Sud,42.9119,13.1892,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,58.66914060591334,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::56,Isola San Biagio,42.9181,13.2989,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,49.75611011119902,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::33,Endesa,42.92618,13.09863,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,65.72314589003457,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::97,San Benedetto,42.9333,13.8892,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,7.468579978771386,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::120,Ussita,42.9436,13.1425,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,61.94834793785886,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::89,Pizzo Tre Vescovi,42.9539,13.205,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,56.77228878563212,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::96,Rotella,42.9542,13.5686,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,27.437188854675078,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::49,Force,42.9628,13.4897,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,33.632159762195705,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::114,Tesino,42.96805,13.71175,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,15.719713589406838,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::44,Foce Tesino,42.97552,13.86875,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,3.724317171060885,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::3,Amandola,42.97638,13.35133,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,44.705105254409375,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::72,Montecavallo,42.98368,12.99405,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,70.53873704189412,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::85,Pintura di Bolognola,42.9911,13.2392,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,53.75098449559669,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::94,Ripatransone,42.99213,13.785,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,9.39357372308279,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::71,Monte Valvasseto,43.00013,13.23803,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,53.83307367718902,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::103,Sassotetto,43.0067,13.2417,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,53.53694106325026,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::20,Carassai,43.02597,13.64595,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,20.856567828952894,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::108,Serravalle di Chienti,43.03055,12.9175,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,70.35210846870233,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::38,Fiastra Tribbio,43.0347,13.156,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,58.75966383541962,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::84,Pievebovigliana,43.07257,13.0869,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,58.11162517556982,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::82,Pian di Pieca,43.08003,13.28157,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,49.93299861396572,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::100,Sant Angelo in Pontano,43.104,13.399,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,42.31886380239109,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::53,Grottazzolina,43.1061,13.5986,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,27.183142221394032,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::110,Sorti,43.11957,12.95295,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,61.22583292961902,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::35,Ete Vivo,43.1358,13.7131,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,21.41316921436579,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::15,Camerino,43.1461,13.0661,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,52.730974587754915,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::37,Fermo,43.1575,13.7144,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,23.10718024842647,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::104,Sefro,43.15903,12.97075,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,57.18416823895763,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::59,Loro Piceno,43.16,13.4036,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,38.60196139935157,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::87,Pioraco 2,43.18112,12.97333,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,55.41953789142877,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::111,Spindoli,43.19405,12.90042,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,59.22804559485723,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::115,Tolentino,43.20922,13.29552,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,36.31479479622557,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::92,Potenza 1,43.22954,13.18845,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,39.22653843593009,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::91,Porto S.Elpidio,43.23261,13.77223,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,27.86676293819238,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::34,Esanatoglia2,43.25313,12.94332,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,52.70515849762739,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::25,Chienti 2,43.2608,13.59,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,27.57442728906748,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::60,Macerata Montalbano,43.29223,13.4187,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,24.018653029996674,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::42,Foce Chienti,43.2972,13.72883,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,29.16023588438011,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::16,Campodiegoli,43.3103,12.8242,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,58.52728780183273,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::106,Serralta,43.3158,13.1886,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,32.43911705667344,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::122,Villa Potenza,43.32726,13.42604,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,20.115378899085556,Physical station in the current federated DPC/regional catalog.
LAND::METEOHUB::36,Fabriano Centro,43.33027,12.90403,physical_land,MeteoHub_dpcn-marche,DPC_stations_aggregated_dq.csv,ERA5_sampled_at_coordinate,DPC_regional_observation,True,True,False,True,51.704655663273755,Physical station in the current federated DPC/regional catalog.
